oasis_profile_code,noc_code,profile_title,unit_group_title,profile_suffix,is_unit_group_profile,unit_group_profile_count,mapping_kind,mapping_status
41403.05,41403,International aid and development project officers,"Social policy researchers, consultants and program officers",05,False,7,one_to_many,mapped
41403.06,41403,Social survey researchers,"Social policy researchers, consultants and program officers",06,False,7,one_to_many,mapped
41403.07,41403,Social service planners,"Social policy researchers, consultants and program officers",07,False,7,one_to_many,mapped
41404.00,41404,"Health policy researchers, consultants and program officers","Health policy researchers, consultants and program officers",00,True,1,one_to_one,mapped
41405.00,41405,"Education policy researchers, consultants and program officers","Education policy researchers, consultants and program officers",00,True,1,one_to_one,mapped
41406.01,41406,"Recreation, sports and fitness consultants","Recreation, sports and fitness policy researchers, consultants and program officers",01,False,3,one_to_many,mapped
41406.02,41406,"Recreation, sports and fitness policy analysts","Recreation, sports and fitness policy researchers, consultants and program officers",02,False,3,one_to_many,mapped
41406.03,41406,"Recreation, sports and fitness program supervisors","Recreation, sports and fitness policy researchers, consultants and program officers",03,False,3,one_to_many,mapped
41407.00,41407,Program officers unique to government,Program officers unique to government,00,True,1,one_to_one,mapped
41409.01,41409,Anthropologists,Other professional occupations in social science,01,False,9,one_to_many,mapped
41409.02,41409,Archaeologists,Other professional occupations in social science,02,False,9,one_to_many,mapped
41409.03,41409,Geographers,Other professional occupations in social science,03,False,9,one_to_many,mapped
41409.04,41409,Historians,Other professional occupations in social science,04,False,9,one_to_many,mapped
41409.05,41409,Linguists,Other professional occupations in social science,05,False,9,one_to_many,mapped
41409.06,41409,Political scientists,Other professional occupations in social science,06,False,9,one_to_many,mapped
41409.07,41409,Psychometricians,Other professional occupations in social science,07,False,9,one_to_many,mapped
41409.08,41409,Sociologists,Other professional occupations in social science,08,False,9,one_to_many,mapped
41409.09,41409,Other social science professionals,Other professional occupations in social science,09,False,9,one_to_many,mapped
42100.00,42100,Police officers (except commissioned),Police officers (except commissioned),00,True,1,one_to_one,mapped
42101.00,42101,Firefighters,Firefighters,00,True,1,one_to_one,mapped
42102.00,42102,Specialized members of the Canadian Armed Forces,Specialized members of the Canadian Armed Forces,00,True,1,one_to_one,mapped
42200.01,42200,Paralegals,Paralegals and related occupations,01,False,5,one_to_many,mapped
42200.02,42200,Independent paralegals,Paralegals and related occupations,02,False,5,one_to_many,mapped
42200.03,42200,Notaries public,Paralegals and related occupations,03,False,5,one_to_many,mapped
42200.04,42200,Trademark agents,Paralegals and related occupations,04,False,5,one_to_many,mapped
42200.05,42200,Justice of the peace,Paralegals and related occupations,05,False,5,one_to_many,mapped
42201.00,42201,Social and community service workers,Social and community service workers,00,True,1,one_to_one,mapped
42202.01,42202,Early childhood educators,Early childhood educators and assistants,01,False,2,one_to_many,mapped
42202.02,42202,Early childhood educator assistants,Early childhood educators and assistants,02,False,2,one_to_many,mapped
42203.00,42203,Instructors of persons with disabilities,Instructors of persons with disabilities,00,True,1,one_to_one,mapped
42204.00,42204,Religion workers,Religion workers,00,True,1,one_to_one,mapped
43100.00,43100,Elementary and secondary school teacher assistants,Elementary and secondary school teacher assistants,00,True,1,one_to_one,mapped
43109.01,43109,Driving instructors,Other instructors,01,False,4,one_to_many,mapped
43109.02,43109,Driver's license examiners,Other instructors,02,False,4,one_to_many,mapped
43109.03,43109,Sewing instructors,Other instructors,03,False,4,one_to_many,mapped
43109.04,43109,Modelling instructors,Other instructors,04,False,4,one_to_many,mapped
43200.00,43200,Sheriffs and bailiffs,Sheriffs and bailiffs,00,True,1,one_to_one,mapped
43201.00,43201,Correctional service officers,Correctional service officers,00,True,1,one_to_one,mapped
43202.01,43202,Animal control officer,By-law enforcement and other regulatory officers,01,False,8,one_to_many,mapped
43202.02,43202,By-law enforcement officers,By-law enforcement and other regulatory officers,02,False,8,one_to_many,mapped
43202.03,43202,Commercial transport inspectors,By-law enforcement and other regulatory officers,03,False,8,one_to_many,mapped
43202.04,43202,Garbage collection inspectors,By-law enforcement and other regulatory officers,04,False,8,one_to_many,mapped
43202.05,43202,Liquor licence inspectors,By-law enforcement and other regulatory officers,05,False,8,one_to_many,mapped
43202.06,43202,Parking control officers,By-law enforcement and other regulatory officers,06,False,8,one_to_many,mapped
43202.07,43202,Taxi inspectors,By-law enforcement and other regulatory officers,07,False,8,one_to_many,mapped
43202.08,43202,Zoning inspectors,By-law enforcement and other regulatory officers,08,False,8,one_to_many,mapped
43203.01,43203,Border services and customs officers,"Border services, customs, and immigration officers",01,False,2,one_to_many,mapped
43203.02,43203,Immigration officers,"Border services, customs, and immigration officers",02,False,2,one_to_many,mapped
43204.00,43204,Operations Members of the Canadian Armed Forces,Operations members of the Canadian Armed Forces,00,True,1,one_to_one,mapped
44100.01,44100,Home child care providers,Home child care providers,01,False,2,one_to_many,mapped
44100.02,44100,Foster parents,Home child care providers,02,False,2,one_to_many,mapped
44101.00,44101,"Home support workers, caregivers and related occupations","Home support workers, caregivers and related occupations",00,True,1,one_to_one,mapped
44200.00,44200,Primary combat members of the Canadian Armed Forces,Primary combat members of the Canadian Armed Forces,00,True,1,one_to_one,mapped
45100.01,45100,Student monitors,"Student monitors, crossing guards and related occupations",01,False,2,one_to_many,mapped
45100.02,45100,Crossing guards,"Student monitors, crossing guards and related occupations",02,False,2,one_to_many,mapped
50010.00,50010,"Library, archive, museum and art gallery managers","Library, archive, museum and art gallery managers",00,True,1,one_to_one,mapped
50011.00,50011,"Managers - publishing, motion pictures, broadcasting and performing arts","Managers - publishing, motion pictures, broadcasting and performing arts",00,True,1,one_to_one,mapped
50012.00,50012,"Recreation, sports and fitness program and service directors","Recreation, sports and fitness program and service directors",00,True,1,one_to_one,mapped
51100.00,51100,Librarians,Librarians,00,True,1,one_to_one,mapped
51101.01,51101,Conservators,Conservators and curators,01,False,2,one_to_many,mapped
51101.02,51101,Curators,Conservators and curators,02,False,2,one_to_many,mapped
51102.00,51102,Archivists,Archivists,00,True,1,one_to_one,mapped
51110.00,51110,Editors,Editors,00,True,1,one_to_one,mapped
51111.01,51111,"Novelists, playwrights, script writers, poets and other creative writers",Authors and writers (except technical),01,False,3,one_to_many,mapped
51111.02,51111,Content writers (non-technical),Authors and writers (except technical),02,False,3,one_to_many,mapped
51111.03,51111,Copywriters,Authors and writers (except technical),03,False,3,one_to_many,mapped
51112.00,51112,Technical writers,Technical writers,00,True,1,one_to_one,mapped
51113.00,51113,Journalists,Journalists,00,True,1,one_to_one,mapped
51114.01,51114,Translators and translator-revisers,"Translators, terminologists and interpreters",01,False,4,one_to_many,mapped
51114.02,51114,Terminologists,"Translators, terminologists and interpreters",02,False,4,one_to_many,mapped
51114.03,51114,Interpreters,"Translators, terminologists and interpreters",03,False,4,one_to_many,mapped
51114.04,51114,Sign language Interpreters,"Translators, terminologists and interpreters",04,False,4,one_to_many,mapped
51120.01,51120,"Film, radio, television and video game producers","Producers, directors, choreographers and related occupations",01,False,7,one_to_many,mapped
51120.02,51120,Directors,"Producers, directors, choreographers and related occupations",02,False,7,one_to_many,mapped
51120.03,51120,Choreographers,"Producers, directors, choreographers and related occupations",03,False,7,one_to_many,mapped
51120.04,51120,Art directors,"Producers, directors, choreographers and related occupations",04,False,7,one_to_many,mapped
51120.05,51120,Film editors,"Producers, directors, choreographers and related occupations",05,False,7,one_to_many,mapped
51120.06,51120,Record producers,"Producers, directors, choreographers and related occupations",06,False,7,one_to_many,mapped
51120.07,51120,Directors of photography,"Producers, directors, choreographers and related occupations",07,False,7,one_to_many,mapped
51121.01,51121,Conductors,"Conductors, composers and arrangers",01,False,3,one_to_many,mapped
51121.02,51121,Composers,"Conductors, composers and arrangers",02,False,3,one_to_many,mapped
51121.03,51121,Arrangers,"Conductors, composers and arrangers",03,False,3,one_to_many,mapped
51122.01,51122,Musicians,Musicians and singers,01,False,3,one_to_many,mapped
51122.02,51122,Singers,Musicians and singers,02,False,3,one_to_many,mapped
51122.03,51122,Teachers of music or voice,Musicians and singers,03,False,3,one_to_many,mapped
52100.01,52100,Library Technicians,Library and public archive technicians,01,False,2,one_to_many,mapped
52100.02,52100,Public archive technicians,Library and public archive technicians,02,False,2,one_to_many,mapped
52110.00,52110,Film and video camera operators,Film and video camera operators,00,True,1,one_to_one,mapped
52111.00,52111,Graphic arts technicians,Graphic arts technicians,00,True,1,one_to_one,mapped
52112.00,52112,Broadcast technicians,Broadcast technicians,00,True,1,one_to_one,mapped
52113.00,52113,Audio and video recording technicians,Audio and video recording technicians,00,True,1,one_to_one,mapped
52114.00,52114,Announcers and other broadcasters,Announcers and other broadcasters,00,True,1,one_to_one,mapped
52119.01,52119,Floor managers,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",01,False,7,one_to_many,mapped
52119.02,52119,Key grips,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",02,False,7,one_to_many,mapped
52119.03,52119,Gaffers and lighting technicians,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",03,False,7,one_to_many,mapped
52119.04,52119,Stunt co-ordinators and special effects technicians,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",04,False,7,one_to_many,mapped
52119.05,52119,Make-up artists,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",05,False,7,one_to_many,mapped
52119.06,52119,Costumiers,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",06,False,7,one_to_many,mapped
52119.07,52119,Settings shop foremen and property masters,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",07,False,7,one_to_many,mapped
52120.01,52120,Graphic designers,Graphic designers and illustrators,01,False,2,one_to_many,mapped
52120.02,52120,Illustrators,Graphic designers and illustrators,02,False,2,one_to_many,mapped
52121.00,52121,Interior designers and interior decorators,Interior designers and interior decorators,00,True,1,one_to_one,mapped
53100.01,53100,Conservation and restoration technicians,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",01,False,5,one_to_many,mapped
53100.02,53100,Preparators and picture framers,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",02,False,5,one_to_many,mapped
53100.03,53100,Museum interpreters,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",03,False,5,one_to_many,mapped
53100.04,53100,"Curatorial assistants, museum extension officers, museology technicians and museum registrars and cataloguers","Registrars, restorers, interpreters and other occupations related to museum and art galleries",04,False,5,one_to_many,mapped
53100.05,53100,Taxidermists,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",05,False,5,one_to_many,mapped
53110.00,53110,Photographers,Photographers,00,True,1,one_to_one,mapped
53111.01,53111,Camera crane operators,"Motion pictures, broadcasting, photography and performing arts assistants and operators",01,False,7,one_to_many,mapped
53111.02,53111,Motion picture projectionists,"Motion pictures, broadcasting, photography and performing arts assistants and operators",02,False,7,one_to_many,mapped
53111.03,53111,Props persons and set builders,"Motion pictures, broadcasting, photography and performing arts assistants and operators",03,False,7,one_to_many,mapped
53111.04,53111,Scripts assistants,"Motion pictures, broadcasting, photography and performing arts assistants and operators",04,False,7,one_to_many,mapped
53111.05,53111,Grips and riggers,"Motion pictures, broadcasting, photography and performing arts assistants and operators",05,False,7,one_to_many,mapped
53111.06,53111,Dressers,"Motion pictures, broadcasting, photography and performing arts assistants and operators",06,False,7,one_to_many,mapped
53111.07,53111,Production assistants,"Motion pictures, broadcasting, photography and performing arts assistants and operators",07,False,7,one_to_many,mapped
53120.01,53120,Dancers,Dancers,01,False,2,one_to_many,mapped
53120.02,53120,Dance teachers,Dancers,02,False,2,one_to_many,mapped
53121.01,53121,Actors and comedians,"Actors, comedians and circus performers",01,False,3,one_to_many,mapped
53121.02,53121,Acting teachers,"Actors, comedians and circus performers",02,False,3,one_to_many,mapped
53121.03,53121,Circus and other performers,"Actors, comedians and circus performers",03,False,3,one_to_many,mapped
53122.01,53122,Painters,"Painters, sculptors and other visual artists",01,False,3,one_to_many,mapped
53122.02,53122,Sculptors,"Painters, sculptors and other visual artists",02,False,3,one_to_many,mapped
53122.03,53122,Art instructors and teachers,"Painters, sculptors and other visual artists",03,False,3,one_to_many,mapped
53123.01,53123,Theatre designers,"Theatre, fashion, exhibit and other creative designers",01,False,3,one_to_many,mapped
53123.02,53123,Fashion designers,"Theatre, fashion, exhibit and other creative designers",02,False,3,one_to_many,mapped
53123.03,53123,Exhibit designers,"Theatre, fashion, exhibit and other creative designers",03,False,3,one_to_many,mapped
53124.01,53124,Carvers,Artisans and craftspersons,01,False,9,one_to_many,mapped
53124.02,53124,Glass blowers,Artisans and craftspersons,02,False,9,one_to_many,mapped
53124.03,53124,Metal art workers,Artisans and craftspersons,03,False,9,one_to_many,mapped
53124.04,53124,Potters,Artisans and craftspersons,04,False,9,one_to_many,mapped
53124.05,53124,Stained glass artists,Artisans and craftspersons,05,False,9,one_to_many,mapped
53124.06,53124,Instrument makers,Artisans and craftspersons,06,False,9,one_to_many,mapped
53124.07,53124,Weavers,Artisans and craftspersons,07,False,9,one_to_many,mapped
53124.08,53124,Craft instructors,Artisans and craftspersons,08,False,9,one_to_many,mapped
53124.09,53124,Artistic floral arrangers,Artisans and craftspersons,09,False,9,one_to_many,mapped
53125.00,53125,"Patternmakers - textile, leather and fur products","Patternmakers - textile, leather and fur products",00,True,1,one_to_one,mapped
53200.00,53200,Athletes,Athletes,00,True,1,one_to_one,mapped
53201.01,53201,Coaches,Coaches,01,False,2,one_to_many,mapped
53201.02,53201,Sports scouts,Coaches,02,False,2,one_to_many,mapped
53202.00,53202,Sports officials and referees,Sports officials and referees,00,True,1,one_to_one,mapped
54100.01,54100,Program leaders and instructors in recreation and sport,"Program leaders and instructors in recreation, sport and fitness",01,False,2,one_to_many,mapped
54100.02,54100,Fitness appraisers,"Program leaders and instructors in recreation, sport and fitness",02,False,2,one_to_many,mapped
55109.01,55109,Buskers,Other performers,01,False,4,one_to_many,mapped
55109.02,55109,Magicians and illusionists,Other performers,02,False,4,one_to_many,mapped
55109.03,55109,Fashion Models,Other performers,03,False,4,one_to_many,mapped
55109.04,55109,Influencers,Other performers,04,False,4,one_to_many,mapped
60010.00,60010,Corporate sales managers,Corporate sales managers,00,True,1,one_to_one,mapped
60020.00,60020,Retail and wholesale trade managers,Retail and wholesale trade managers,00,True,1,one_to_one,mapped
60030.00,60030,Restaurant and food service managers,Restaurant and food service managers,00,True,1,one_to_one,mapped
60031.00,60031,Accommodation service managers,Accommodation service managers,00,True,1,one_to_one,mapped
60040.00,60040,Managers in customer and personal services,Managers in customer and personal services,00,True,1,one_to_one,mapped
62010.00,62010,Retail sales supervisors,Retail sales supervisors,00,True,1,one_to_one,mapped
62020.00,62020,Food service supervisors,Food service supervisors,00,True,1,one_to_one,mapped
62021.00,62021,Executive housekeepers,Executive housekeepers,00,True,1,one_to_one,mapped
62022.00,62022,"Accommodation, travel, tourism and related services supervisors","Accommodation, travel, tourism and related services supervisors",00,True,1,one_to_one,mapped
62023.01,62023,Customer service representatives supervisors - financial services,Customer and information services supervisors,01,False,2,one_to_many,mapped
62023.02,62023,Customer service representatives supervisors (except financial services),Customer and information services supervisors,02,False,2,one_to_many,mapped
62024.00,62024,Cleaning supervisors,Cleaning supervisors,00,True,1,one_to_one,mapped
62029.00,62029,Other services supervisors,Other services supervisors,00,True,1,one_to_one,mapped
62100.00,62100,Technical sales specialists - wholesale trade,Technical sales specialists - wholesale trade,00,True,1,one_to_one,mapped
62101.00,62101,Retail and wholesale buyers,Retail and wholesale buyers,00,True,1,one_to_one,mapped
62200.01,62200,Head Chefs,Chefs,01,False,3,one_to_many,mapped
62200.02,62200,Sous-Chefs,Chefs,02,False,3,one_to_many,mapped
62200.03,62200,Specialist chefs,Chefs,03,False,3,one_to_many,mapped
62201.01,62201,Funeral directors,Funeral directors and embalmers,01,False,2,one_to_many,mapped
62201.02,62201,Embalmers,Funeral directors and embalmers,02,False,2,one_to_many,mapped
62202.01,62202,Jewellers and related workers,"Jewellers, jewellery and watch repairers and related occupations",01,False,2,one_to_many,mapped
62202.02,62202,Watch repairers,"Jewellers, jewellery and watch repairers and related occupations",02,False,2,one_to_many,mapped
63100.00,63100,Insurance agents and brokers,Insurance agents and brokers,00,True,1,one_to_one,mapped
63101.00,63101,Real estate agents and salespersons,Real estate agents and salespersons,00,True,1,one_to_one,mapped
63102.00,63102,Financial sales representatives,Financial sales representatives,00,True,1,one_to_one,mapped
63200.00,63200,Cooks,Cooks,00,True,1,one_to_one,mapped
63201.00,63201,Butchers - retail and wholesale,Butchers - retail and wholesale,00,True,1,one_to_one,mapped
63202.00,63202,Bakers,Bakers,00,True,1,one_to_one,mapped
63210.01,63210,Hairstylists,Hairstylists and barbers,01,False,2,one_to_many,mapped
63210.02,63210,Barbers,Hairstylists and barbers,02,False,2,one_to_many,mapped
63211.01,63211,Estheticians,"Estheticians, electrologists and related occupations",01,False,7,one_to_many,mapped
63211.02,63211,Cosmeticians,"Estheticians, electrologists and related occupations",02,False,7,one_to_many,mapped
63211.03,63211,Electrologists,"Estheticians, electrologists and related occupations",03,False,7,one_to_many,mapped
63211.04,63211,Manicurists and pedicurist,"Estheticians, electrologists and related occupations",04,False,7,one_to_many,mapped
63211.05,63211,Scalp treatment specialists,"Estheticians, electrologists and related occupations",05,False,7,one_to_many,mapped
63211.06,63211,Tattoo artists,"Estheticians, electrologists and related occupations",06,False,7,one_to_many,mapped
63211.07,63211,Hair replacement technicians (non-medical),"Estheticians, electrologists and related occupations",07,False,7,one_to_many,mapped
63220.01,63220,Shoemakers,Shoe repairers and shoemakers,01,False,2,one_to_many,mapped
63220.02,63220,Shoe repairers,Shoe repairers and shoemakers,02,False,2,one_to_many,mapped
63221.00,63221,Upholsterers,Upholsterers,00,True,1,one_to_one,mapped
64100.01,64100,Retail salespersons,Retail salespersons and visual merchandisers,01,False,2,one_to_many,mapped
64100.02,64100,Visual merchandisers,Retail salespersons and visual merchandisers,02,False,2,one_to_many,mapped
64101.00,64101,Sales and account representatives - wholesale trade (non-technical),Sales and account representatives - wholesale trade (non-technical),00,True,1,one_to_one,mapped
64200.01,64200,"Tailors, Dressmakers and Alterationists","Tailors, dressmakers, furriers and milliners",01,False,3,one_to_many,mapped
64200.02,64200,Furriers,"Tailors, dressmakers, furriers and milliners",02,False,3,one_to_many,mapped
64200.03,64200,Milliners,"Tailors, dressmakers, furriers and milliners",03,False,3,one_to_many,mapped
64201.01,64201,Image consultants,"Image, social and other personal consultants",01,False,3,one_to_many,mapped
64201.02,64201,Wedding consultants,"Image, social and other personal consultants",02,False,3,one_to_many,mapped
64201.03,64201,Weight loss consultants,"Image, social and other personal consultants",03,False,3,one_to_many,mapped
64300.00,64300,Maîtres d'hôtel and hosts/hostesses,Maîtres d'hôtel and hosts/hostesses,00,True,1,one_to_one,mapped
64301.00,64301,Bartenders,Bartenders,00,True,1,one_to_one,mapped
64310.00,64310,Travel counsellors,Travel counsellors,00,True,1,one_to_one,mapped
64311.01,64311,Flight attendants,Pursers and flight attendants,01,False,3,one_to_many,mapped
64311.02,64311,"Flight pursers, customer service directors and passenger service directors",Pursers and flight attendants,02,False,3,one_to_many,mapped
64311.03,64311,Ship pursers,Pursers and flight attendants,03,False,3,one_to_many,mapped
64312.01,64312,"Airline passenger, baggage and ticket agents",Airline ticket and service agents,01,False,3,one_to_many,mapped
64312.02,64312,Airline cargo and freight agents,Airline ticket and service agents,02,False,3,one_to_many,mapped
